,index,SUMLEV,REGION,DIVISION,STATE,NAMEleft,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NATURALINC2010,NATURALINC2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,NETMIG2010,NETMIG2011,RESIDUAL2010,RESIDUAL2011,RBIRTH2011,RDEATH2011,RNATURALINC2011,RINTERNATIONALMIG2011,RDOMESTICMIG2011,RNETMIG2011,NAMEleft.1,NAME,state,StateName,AllRevenue,AllExpenses,AllGovtGrants,AllContributions,AllAssets,ArtMuseumRevenue,ArtMuseumExpenses,ArtMuseumGovtGrants,ArtMuseumContributions,ArtMuseumAssets,ChildrenMuseumRevenue,ChildrenMuseumExpenses,ChildrenMuseumGovtGrants,ChildrenMuseumContributions,ChildrenMuseumAssets,HistoryMuseumRevenue,HistoryMuseumExpenses,HistoryMuseumGovtGrants,HistoryMuseumContributions,HistoryMuseumAssets,MuseumRevenue,MuseumExpenses,MuseumGovtGrants,MuseumContributions,MuseumAssets,PerformingArtsRevenue,PerformingArtsExpenses,PerformingArtsGovtGrants,PerformingArtsContributions,PerformingArtsAssets,DanceRevenue,DanceExpenses,DanceGovtGrants,DanceContributions,DanceAssets,BalletRevenue,BalletExpenses,BalletGovtGrants,BalletContributions,BalletAssets,TheaterRevenue,TheaterExpenses,TheaterGovtGrants,TheaterContributions,TheaterAssets,OperaRevenue,OperaExpenses,OperaGovtGrants,OperaContributions,OperaAssets,SymphonyOrchestraRevenue,SymphonyOrchestraExpenses,SymphonyOrchestraGovtGrants,SymphonyOrchestraContributions,SymphonyOrchestraAssets,MediaRevenue,MediaExpenses,MediaGovtGrants,MediaContributions,MediaAssets,FilmRevenue,FilmExpenses,FilmGovtGrants,FilmContributions,FilmAssets,TelevisionRevenue,TelevisionExpenses,TelevisionGovtGrants,TelevisionContributions,TelevisionAssets,PublishingRevenue,PublishingExpenses,PublishingGovtGrants,PublishingContributions,PublishingAssets,RadioRevenue,RadioExpenses,RadioGovtGrants,RadioContributions,RadioAssets
20,20,40,2,4,19,Iowa,3046355,3046350,3050202,3062309,3852,12107,9400,38324,6433,27895,2967,10429,849,3150,95,-1456,944,1694,-59,-16,12.53952754,9.127181939,3.412345597,1.030672992,-0.47639996100000004,0.554273031,Iowa,Iowa,IA,Iowa,254886802.55999997,228817789.68999997,20457785.0,95494525.01,1090631154.7499998,10445327.0,11489700.0,884351.0,5447795.0,160072379.0,1866996.0,1660916.0,502302.0,446847.0,2095981.0,10918051.0,7130753.0,1041967.0,6166380.0,49264793.0,64630334.0,50528673.0,4095656.0,30017960.0,402369922.09,91871623.9,87806121.96,1154900.0,27421630.75,194418509.06,603955.0,576675.0,1.0,82771.0,669319.0,729698.0,702348.0,1.0,362270.0,204179.0,17640549.0,16000422.0,254231.0,6856334.0,46884938.82,3674983.0,3652546.0,282500.0,2525963.0,4044007.0,9635248.0,9095029.0,62365.0,4874395.0,18151491.0,20439433.0,18012428.0,7377607.0,5145893.0,30169602.0,1204884.0,1045063.0,92703.0,561845.0,633046.0,158378.0,190102.0,145595.0,12690.0,479300.0,3832233.0,3095068.0,635566.0,831283.0,11581170.0,1284216.0,1532716.0,5000.0,1055233.0,3019753.0
21,21,40,2,4,20,Kansas,2853118,2853118,2859143,2871238,6025,12095,9845,40132,5459,24038,4386,16094,1326,4237,324,-8252,1650,-4015,-11,16,14.00674754,8.389669029,5.617078515,1.4787847440000002,-2.8800877289999995,-1.401302985,Kansas,Kansas,KS,Kansas,162031615.4,147654988.9,13215500.0,57932412.4,585149906.4,1657029.0,1942649.0,150919.0,798651.0,22155955.0,5844405.0,2283248.0,119783.0,4897461.0,9348145.0,6825119.0,5745363.0,1610283.0,2475405.0,40931759.0,30961827.0,28382931.0,5548774.0,13335392.0,159305746.0,28860428.0,28654962.0,889209.0,10402953.0,70883018.0,496228.0,532528.0,1.0,290833.0,218373.0,692953.0,608741.0,8504.0,203974.0,362999.0,12173628.0,11818458.0,92132.0,4347111.0,30897454.0,613040.0,1000855.0,5000.0,340669.0,334594.0,3634521.0,3419276.0,65571.0,1798586.0,7763477.0,33045107.0,32845226.0,1135307.0,7312277.0,26411388.0,2264977.0,2293846.0,29997.0,1426741.0,574124.0,4740749.0,4590105.0,992775.0,3624700.0,6172195.0,4573222.0,4373617.0,29048.0,1195731.0,3484452.0,15171994.0,14884171.0,1.0,135800.0,3325350.0
22,22,40,3,6,21,Kentucky,4339367,4339362,4347223,4369356,7861,22133,13991,56447,10486,41945,3505,14502,1458,4845,2920,2841,4378,7686,-22,-55,12.95164078,9.624188572000001,3.327452203,1.11167466,0.651861241,1.763535901,Kentucky,Kentucky,KY,Kentucky,299598677.8,271497334.74,14707357.0,106167823.24,1068140707.51,5261740.0,12847013.0,496304.0,3156830.0,151915576.0,961271.0,1014455.0,317216.0,144885.0,1770481.0,12687964.0,13232652.0,317929.0,5561927.0,95353714.0,115381677.0,98481514.0,2675673.0,31898942.0,534726625.0,72264835.09,70330605.95,2384738.0,25874169.35,138236640.64,859523.0,825757.0,12748.0,360467.0,405528.0,5426572.0,5268097.0,47897.0,2807495.0,2948424.0,22932662.34,23172649.92,1416298.0,8933773.35,35848174.64,2618382.0,2320477.0,55558.0,1911794.0,4816028.0,11167745.0,10351696.0,185927.0,6542037.0,9471884.0,22779549.0,25169030.0,4933090.0,9794349.0,42548029.0,208397.0,461571.0,1.0,229133.0,87383.0,8947318.0,11019065.0,3679033.0,3842657.0,10465509.0,4929620.0,4805805.0,1.0,960075.0,12940333.0,5519738.0,6178166.0,104382.0,3071517.0,11038371.0
23,23,40,3,7,22,Louisiana,4533372,4533372,4545343,4574836,11971,29493,15571,63969,9771,40780,5800,23189,1354,3740,4706,2379,6060,6119,111,185,14.02801414,8.942806934,5.085207209,0.820159341,0.521700287,1.341859628,Louisiana,Louisiana,LA,Louisiana,339713302.37,300712051.68,37588192.0,163788384.37,947304957.0,21965099.0,16305566.0,1086665.0,19589528.0,95662937.0,8854180.0,4240335.0,3856006.0,2849251.0,32864246.0,5128052.0,5102583.0,324848.0,2884882.0,49062412.0,131905500.0,83251664.0,10388664.0,87132648.0,530898510.0,83147012.0,85779363.0,3111784.0,19321247.0,130364993.0,2734675.0,3105736.0,67333.0,752095.0,4060838.0,2362404.0,2221499.0,7000.0,344696.0,3203781.0,11891328.0,11544271.0,416829.0,3528374.0,22954700.0,4276138.0,4966121.0,631475.0,2453132.0,7412380.0,10960619.0,11260600.0,329099.0,4820825.0,8829273.0,25827596.0,24680118.0,4743163.0,15319332.0,38508618.0,4991233.0,4914522.0,698790.0,2669542.0,3949619.0,10308502.0,9599435.0,3000241.0,5526789.0,24250726.0,1829584.0,1971770.0,1.0,212634.0,5111203.0,7535776.0,7222358.0,316290.0,6522092.0,4265729.0
24,24,40,1,1,23,Maine,1328361,1328361,1327379,1328188,-982,809,3186,12868,3290,12688,-104,180,225,594,-1072,72,-847,666,-31,-37,9.691338987,9.555774718,0.13556426900000002,0.44736208899999996,0.054225708,0.501587797,Maine,Maine,ME,Maine,162525253.42,153184274.93,4068107.0,79071711.2,613266016.1600001,14055859.0,12596594.0,1.0,10393401.0,102029313.0,3596114.0,2593172.0,5242.0,2537306.0,7732552.0,6376242.0,4072327.0,232692.0,3948144.0,39534401.0,36571965.0,30298364.0,431213.0,23883761.0,222209715.0,46977088.0,43085978.0,639728.0,17305191.0,94303398.68,1330104.0,1371787.0,1.0,292895.0,2096757.0,802867.0,746513.0,1.0,301797.0,362717.0,14252873.0,13641817.0,88104.0,4535648.0,22398249.0,393229.0,395171.0,3600.0,206450.0,114000.0,6094238.0,4809457.0,1.0,2829442.0,14573458.0,9548633.0,10312719.0,236781.0,4607218.0,15595749.0,1495311.0,1608898.0,1.0,819559.0,996929.0,809136.0,773793.0,110000.0,414435.0,481941.0,1260288.0,2172317.0,126781.0,494099.0,7915459.0,505644.0,467719.0,1.0,476758.0,85125.0
25,25,40,3,5,24,Maryland,5773552,5773552,5785681,5828289,12129,42608,18102,72995,10563,43606,7539,29389,4493,16435,130,-3124,4623,13311,-33,-92,12.5702064,7.509232416000001,5.060973982,2.8302122360000004,-0.5379728029999999,2.2922394319999997,Maryland,Maryland,MD,Maryland,936300097.1499999,690821412.6999999,234353816.0,256687668.01000002,4508296119.2,245517233.0,187444263.0,149442725.0,36187870.0,1370313402.0,9588912.0,6165338.0,2691429.0,3870255.0,17897108.0,37955778.0,39218988.0,1158179.0,16636577.0,105104868.0,411154378.0,271223166.0,158910250.0,67368339.0,3292872717.0,199342944.08,137664901.12,22128401.0,59995030.38,266643597.48,7365816.0,6298093.0,605765.0,1525013.0,6763147.0,4732177.0,4667314.0,395352.0,485936.0,3345831.0,49569529.9,44923466.12,7969047.0,17620630.57,120871623.64,1167034.9300000002,1562853.0,44423.0,941284.32,745945.48,34437560.0,35361874.0,4848733.0,16359151.0,14435926.0,71651436.73,64425804.0,7732988.0,32261414.73,110021193.56,1051977.0,1123046.0,58300.0,782551.0,466219.0,6401697.0,5845691.0,1177969.0,4841131.0,10198358.0,14168168.73,13140262.0,2369607.0,2698966.73,35362676.56,9263086.0,8075082.0,187323.0,5961803.0,11752900.0
26,26,40,1,1,25,Massachusetts,6547629,6547629,6555466,6587536,7837,32070,18589,73368,12958,52355,5631,21013,4906,19664,-2587,-8299,2319,11365,-113,-308,11.1645726,7.966977407000001,3.197595192,2.992314846,-1.262877385,1.72943746,Massachusetts,Massachusetts,MA,Massachusetts,2181616746.03,1991800575.77,48711131.0,929952470.75,9210075673.51,324825329.0,256518894.0,1304460.0,144164937.0,3145115012.0,21714589.0,18447083.0,544099.0,7951715.0,98983921.0,87952952.0,80754112.0,1123737.0,36490663.0,524966445.0,583694639.0,468142696.0,11080882.0,263191030.0,4391417126.0,515276319.55,484874254.64,4452089.0,232628564.84,1265591968.4,20229967.0,17832713.0,292618.0,9870401.0,47043423.0,43177642.0,37024384.0,134500.0,18802594.0,39507070.0,111472847.0,96806508.0,654278.0,61920432.0,184849177.0,12797904.0,10459118.0,84900.0,9839121.0,23554201.0,107429847.0,124608540.0,874568.0,45620368.0,628811866.0,654003711.0,637191131.0,16511960.0,247501194.0,1355906583.0,23399364.0,24946779.0,941611.0,11105853.0,18074082.0,57950532.0,56115875.0,5189262.0,15187138.0,129154283.0,299632911.0,299010578.0,63410.0,6979707.0,227411738.0,20837113.0,20505467.0,74017.0,8775098.0,23937703.0
27,27,40,2,3,26,Michigan,9883640,9883635,9877143,9876187,-6492,-956,28932,113894,21459,86988,7473,26906,2817,12399,-16903,-40331,-14086,-27932,121,70,11.531625300000002,8.807426393,2.724198907,1.25538327,-4.083463396,-2.828080126,Michigan,Michigan,MI,Michigan,848946460.27,855499845.46,60202245.0,344376041.00999993,4673783688.31,79828546.0,54437767.0,25639474.0,37864622.0,478642807.0,17822662.0,17887307.8,52606.0,9297224.0,30282731.88,104208649.0,112431013.0,4333238.0,27240124.0,798473665.0,258220030.0,249163514.8,37974580.0,105676877.0,1465935014.88,208990875.66,206135338.27,2466302.0,90451112.79,469158714.49,5861279.0,5835431.0,134641.0,1586524.0,5392036.0,3982061.0,4693352.0,1.0,858832.0,8702655.0,28404929.490000002,28476000.97,392266.0,7835570.17,74131978.27,1315737.0,1286408.0,1.0,1249692.0,1907200.0,56607928.0,59757150.0,379162.0,36835130.0,156141708.0,46798313.89,45825135.4,5367417.0,24542988.09,77512451.79,1112395.89,1670518.4,119259.0,355988.09,6492107.79,21244954.0,21346072.0,5209820.0,12648019.0,29103816.0,6534896.0,6123672.0,1.0,2426542.0,24932674.0,2605492.0,2597486.0,1.0,293101.0,749822.0
28,28,40,2,4,27,Minnesota,5303925,5303925,5310658,5344861,6733,34203,16979,68088,9326,38436,7653,29652,2463,9417,-3354,-4719,-891,4698,-29,-147,12.77985615,7.214289609,5.565566539,1.76753474,-0.8857381790000001,0.88179656,Minnesota,Minnesota,MN,Minnesota,970756532.5699999,966133809.95,160130247.0,388039108.33,3238783100.12,40675961.0,45853093.0,12241771.0,14606677.0,383966166.0,12163229.0,12386955.0,1183000.0,3566941.0,34668108.0,10661274.0,12192415.0,1675892.0,4759151.0,62356776.0,112659815.0,127566888.0,26424269.0,37765309.0,671936540.0,261708345.47,255344663.97,16412998.0,102307059.41,713635966.4300001,8823810.0,8540696.0,686762.0,2298690.0,5316122.0,2615693.0,2530390.0,135960.0,886104.0,1114234.0,109312454.0,105796687.0,8124286.0,34172100.0,257937832.0,12265972.0,14293763.0,515020.0,6834130.0,25492130.0,18006845.0,16857564.0,800288.0,10569656.0,56167836.0,237347138.0,241634805.0,33760611.0,125969939.0,348745702.0,9031432.0,9315476.0,5672137.0,1831551.0,3199176.0,64318446.0,63852111.0,19543197.0,36101577.0,107226427.0,17304136.0,16220978.0,723366.0,6170608.0,35036700.0,116836853.0,120015033.0,5943394.0,70640632.0,172749868.0
29,29,40,3,6,28,Mississippi,2967297,2967297,2970072,2978512,2775,8440,9515,40464,6516,28837,2999,11627,774,2385,-984,-5688,-210,-3303,-14,116,13.6045822,9.69541659,3.90916561,0.8018715040000001,-1.9123878890000001,-1.110516385,Mississippi,Mississippi,MS,Mississippi,80793553.85,113420177.94,12711273.0,39995229.85,342381410.5,5286736.0,6849694.0,1901837.0,2124579.0,44125172.0,8381147.0,4795982.0,1.0,6447862.0,37078611.0,2526612.0,1725620.0,97117.0,2069290.0,5221031.0,23337940.0,21649625.0,3282706.0,13864028.0,138441588.0,15221005.0,16164691.0,677632.0,5859215.0,31778193.0,98878.0,101796.0,1.0,1.0,13292.0,4507996.0,4906931.0,72158.0,1092716.0,1611211.0,4040917.0,3482107.0,211911.0,1627294.0,8178117.0,616001.0,572675.0,112716.0,188041.0,178283.0,2956336.0,3007295.0,145500.0,1339154.0,1484764.0,9790161.0,11736491.0,410500.0,4156429.0,19310388.0,434013.0,337931.0,24500.0,313050.0,131606.0,1.0,1.0,1.0,1.0,1.0,2480389.0,2345110.0,386000.0,188130.0,6372611.0,3740491.0,2815442.0,1.0,2609799.0,3739265.0
30,30,40,2,4,29,Missouri,5988927,5988927,5995715,6010688,6788,14973,18600,75910,13350,54361,5250,21549,1638,5319,-26,-11805,1612,-6486,-74,-90,12.64491955,9.055334891000001,3.589584658,0.8860272309999999,-1.966450735,-1.080423504,Missouri,Missouri,MO,Missouri,650564366.8400002,607081019.39,47840179.0,276324964.45,3121309688.05,4707156.0,7495682.0,259513.0,2272617.0,55431518.0,10601454.34,7766487.36,65555.0,4644038.0,33372708.19,33107944.15,26891155.0,4215728.0,11736778.15,97955137.0,187257314.49,170361697.36,17204470.0,78744814.15,1193878145.6200001,270625088.37,264836502.69,11899342.0,97148920.69,1156300710.26,3375237.0,3305311.0,154039.0,1684799.0,1176810.0,11324376.0,14595782.0,128342.0,3312577.0,52764466.0,96062369.0,91596769.0,1171014.0,20106685.0,138040272.0,21559691.0,18590851.0,575746.0,12431415.0,83140321.0,61855042.9,59611482.6,901307.0,24230851.18,305194595.26,48045240.09,50281557.69,4021895.0,24790241.24,81418963.07,3591453.0,3468693.0,127631.0,1748237.0,1409703.0,24251630.0,23626402.0,3654382.0,13632271.0,29465127.0,9686199.0,13115801.0,1.0,4280446.0,36704098.0,3786072.09,4133873.69,239882.0,3338197.24,8171435.07
31,31,40,4,8,30,Montana,989415,989415,990958,998199,1543,7241,2973,11911,1840,8629,1133,3282,128,387,310,3578,438,3965,-28,-6,11.97592749,8.676037135,3.299890356,0.38910955799999997,3.597503867,3.986613425,Montana,Montana,MT,Montana,74087829.44,67477725.07,3963188.0,33482026.29,201915499.19999996,5719979.0,5135660.0,713438.0,2331206.0,15485542.0,509331.0,502208.0,1.0,168758.0,268605.89,2388662.0,2029984.0,120252.0,1140832.0,12620046.0,16497979.0,15581904.0,1061162.0,7060966.0,68584082.89,23392091.0,22291515.0,81413.0,8098151.0,35797742.0,686753.0,644463.0,1200.0,260039.0,155633.0,73006.0,60256.0,1.0,9650.0,59717.0,12493758.0,12050932.0,67238.0,2976984.0,15571530.0,792151.0,789036.0,1.0,430799.0,743156.0,3617564.0,3239319.0,1.0,1894974.0,5377346.0,7156650.0,7114214.0,661182.0,5322683.0,11262744.0,404019.0,406614.0,1.0,272767.0,234753.0,3298218.0,3210291.0,661182.0,2253410.0,3031943.0,671220.0,617515.0,1.0,514961.0,2201583.0,2262777.0,2313799.0,1.0,2047212.0,3588039.0
32,32,40,2,4,31,Nebraska,1826341,1826341,1830141,1842641,3800,12500,6316,25991,3362,14878,2954,11113,768,2508,123,-1100,891,1408,-45,-21,14.15330395,8.101760464,6.051543489,1.365722224,-0.599000975,0.766721248,Nebraska,Nebraska,NE,Nebraska,222855280.4,209214630.37,12860724.0,101389141.16,929190753.46,10717542.0,10449877.0,634379.0,8816448.0,64897928.0,6985442.0,6818173.0,234000.0,2432963.0,14851683.0,5520235.0,9666223.0,1166404.0,1696263.0,48033887.0,30906524.0,33242011.0,3814325.0,16688314.0,201367610.0,74337289.0,70599743.17,1892119.0,30332335.16,306421201.46000004,513611.0,495764.0,1.0,132554.0,43899.0,1207981.0,1098186.0,34747.0,416579.0,1228861.0,16273326.0,14948477.0,623490.0,7706165.0,34711991.0,3280607.0,3861688.0,93518.0,2608481.0,8822175.0,9744425.0,9295792.0,373137.0,4990759.0,30587562.0,21656331.0,13908256.0,116650.0,17545906.0,38948127.0,7745834.0,3759140.0,116650.0,5377729.0,14374762.0,515316.0,471800.0,1.0,333309.0,1033367.0,515446.0,556845.0,1.0,212635.0,1783242.0,5231011.0,3207169.0,1.0,5029241.0,12407408.0
33,33,40,4,8,32,Nevada,2700551,2700551,2704283,2723322,3732,19039,9162,36772,4743,19373,4419,17399,2382,9679,-3105,-8008,-723,1671,36,-31,13.549991199999997,7.138691927999999,6.411299275,3.5665823139999997,-2.950841117,0.6157411970000001,Nevada,Nevada,NV,Nevada,143807712.57,155504452.84,10304595.0,58905741.47,839260053.43,8087930.0,9836458.0,1.0,5024524.0,57160181.0,3672838.0,5741615.0,1.0,1293105.0,44121319.0,7803344.0,6043719.0,409720.0,2040638.0,26068884.0,32866524.1,36840835.0,1943759.0,13441267.0,229354610.0,20814870.0,20986079.0,546503.0,8134350.0,35398981.0,4977090.0,5478592.0,1.0,2097102.0,9643744.0,639876.0,630804.0,1800.0,232054.0,331673.0,4060975.0,3954035.0,119532.0,1310244.0,2235950.0,305233.0,278098.0,10310.0,162469.0,57484.0,6231458.0,6183846.0,190431.0,3054769.0,4415101.0,14077609.0,14586109.0,1390330.0,10733090.0,21116575.0,1248662.0,1073736.0,1.0,1131668.0,2340656.0,4783651.0,4820773.0,1243481.0,3291026.0,7965442.0,16230.0,23498.0,1.0,1481.0,1061347.0,6765872.0,7303110.0,146849.0,5059303.0,7572273.0
34,34,40,1,1,33,New Hampshire,1316470,1316472,1316807,1318194,335,1387,3191,12795,2350,9778,841,3017,399,1165,-882,-2763,-483,-1598,-23,-32,9.711571267,7.421629062,2.289942205,0.884250139,-2.097152904,-1.212902766,New Hampshire,New Hampshire,NH,New Hampshire,140858616.24,123935318.03999999,3887871.0,62658860.0,735714246.39,11461937.0,8829063.0,13000.0,2301540.0,98966159.0,1127957.0,1146415.0,13000.0,504075.0,3202813.0,11687401.0,10253862.0,168436.0,5925853.0,66369379.0,31197890.24,28274515.04,409630.0,11049217.0,188540368.84,42607962.0,37152006.0,120432.0,17807641.0,57323169.0,278853.0,267795.0,1.0,188469.0,434834.0,480682.0,471113.0,1.0,143905.0,51702.0,9110740.0,8807286.0,18482.0,2856466.0,13027046.0,833979.0,376337.0,1.0,594174.0,538068.0,1193076.0,1096473.0,17250.0,664803.0,1006831.0,22126598.0,22038198.0,1431990.0,14454449.0,23092105.0,321008.0,333992.0,1.0,220916.0,65814.0,6856342.0,7618522.0,815611.0,3259898.0,7491642.0,5481340.0,4597807.0,1.0,2855777.0,3970328.0,8727297.0,8661184.0,616379.0,7846044.0,11047793.0
35,35,40,1,2,34,New Jersey,8791894,8791894,8799593,8821155,7699,21562,25275,104343,16884,68372,8391,35971,8273,30889,-8854,-45244,-581,-14355,-111,-54,11.84319758,7.760397005,4.082800571,3.505980563,-5.135309806,-1.6293292430000001,New Jersey,New Jersey,NJ,New Jersey,631237490.59,582889703.41,51239517.0,216824061.07999998,1691827888.33,22061027.0,25748840.0,5722576.0,10607003.0,93932886.0,204593.0,207528.0,1.0,72753.0,106838.0,10399963.0,10405215.0,2104531.0,2993198.0,52162302.0,94135656.0,83834336.0,31183390.0,32240472.0,368917391.0,298628098.0,262308182.0,9701653.0,109695226.0,571726171.0,10863481.0,11004209.0,666387.0,3256249.0,7724462.0,3500796.0,3655545.0,117409.0,985341.0,1144833.0,71717891.0,64530465.0,3435875.0,21916322.0,96290007.0,1531015.0,1358756.0,1.0,1212412.0,411479.0,19091376.0,18187361.0,1415027.0,10409324.0,19248491.0,49750678.0,47393267.0,991528.0,12652448.0,154786711.0,4318098.0,4107048.0,52000.0,2619868.0,5383617.0,936936.0,838321.0,242000.0,178736.0,746910.0,29308465.0,29458968.0,19180.0,2093098.0,125194024.0,11296799.0,8668469.0,678348.0,5900759.0,18704932.0
36,36,40,4,8,35,New Mexico,2059179,2059180,2065913,2082224,6733,16311,7109,28511,3636,15760,3473,12751,1088,3471,2135,67,3223,3538,37,22,13.74641194,7.59859185,6.147820094,1.673522355,0.032303658,1.705826013,New Mexico,New Mexico,NM,New Mexico,203864041.1,192337678.07,11884417.0,94128886.62,776074291.88,16122084.0,12292092.0,159760.0,7892007.0,163585918.0,5315680.0,5114476.0,1945614.0,1561912.0,4674979.0,4180239.0,2589797.0,446634.0,592265.0,9893588.0,51353826.0,39616293.0,3158272.0,24449754.0,293961307.0,63784814.0,67794061.0,2666227.0,26867019.0,178861818.0,1624633.0,1753113.0,102594.0,735278.0,2464001.0,935195.0,914878.0,49546.0,140287.0,815521.0,6049894.0,6327874.0,153140.0,1361239.0,7347913.0,23933793.0,27040558.0,310485.0,10551804.0,117687080.0,9515213.0,10742219.0,281108.0,4178133.0,12341177.0,8220651.0,7344765.0,649830.0,5741289.0,8217772.0,1071444.0,963504.0,1.0,414922.0,1289577.0,419382.0,376416.0,1.0,329296.0,326766.0,1869153.0,1607968.0,214241.0,1696289.0,1745584.0,1680899.0,1718095.0,143089.0,1053987.0,2044192.0
37,37,40,1,2,36,New York,19378102,19378104,19395206,19465197,17102,69991,61126,242972,36134,146864,24992,96108,15809,64716,-23415,-90342,-7606,-25626,-284,-491,12.5048626,7.558542302999999,4.9463202939999995,3.3306911410000004,-4.64956578,-1.31887464,New York,New York,NY,New York,10618452727.859999,9887112207.379997,906913400.0,4132317806.430001,41789226116.450005,638499102.0,630511647.0,20419207.0,309650290.0,4725487582.0,77897817.0,29902868.0,4904724.0,62691256.0,117126141.0,126238494.0,126732322.0,8531523.0,45964580.0,579061334.0,2219888256.0,1964936231.32,115056869.0,1103001579.5900002,14008737267.42,2784341712.0699997,2565072091.81,145110092.0,1114202260.72,7107695908.079999,326466020.27,301383160.95,23507362.0,123175089.58,836630960.43,23460796.0,21905338.0,1584245.0,10501486.0,19416369.0,698483186.0,666533709.22,71945288.0,220922107.0,1820523342.29,352137964.0,332509952.0,1321601.0,168229229.0,516410860.0,60361407.0,60668987.0,4704105.0,32319799.0,121054245.0,3255128511.28,3120079458.55,468039757.0,636085273.8299999,10733134325.0,94459262.28,101054030.55,2349413.0,63308242.83,123289633.0,330309976.0,294865303.0,29890947.0,165247459.0,702722660.0,2526549384.0,2406123984.0,412061834.0,218335035.0,9430419318.0,121734296.0,121321500.0,3957133.0,85857526.0,189492999.0
38,38,40,3,5,37,North Carolina,9535483,9535475,9560234,9656401,24759,96167,29777,122131,19235,78169,10542,43962,6074,18955,8092,32941,14166,51896,51,309,12.71096631,8.135555471,4.5754108360000005,1.972769947,3.4283837939999997,5.40115374,North Carolina,North Carolina,NC,North Carolina,621384873.3499999,578303753.01,73016424.0,260100514.79000005,2183127823.1700006,24575382.0,19459184.0,3816340.0,15307332.0,201847302.0,8523274.0,12692002.0,1003161.0,2356571.0,15006650.0,13100300.0,11631511.0,634724.0,5524081.0,49163814.0,132947420.0,115458253.0,23234900.0,56274067.0,668439369.0,185176012.81,182543387.70000002,11183091.0,71970494.38,317679689.94,6713826.0,5962967.0,152450.0,3025456.0,15157601.0,9090332.0,9890917.0,102577.0,3128549.0,19373192.0,38262075.66,43472195.86,1924615.0,15502399.3,86306713.97,7755596.0,7750234.0,705441.0,4803193.0,7170188.0,34315710.0,33092432.0,5595243.0,16593920.0,26843100.0,33537943.53,31017632.08,3009122.0,14686658.53,80556843.53,5032780.0,4496824.0,981711.0,2166232.0,3630514.0,5399660.0,5763542.0,781925.0,2308442.0,12217422.0,7209508.0,6447465.0,455339.0,743762.0,14848343.0,7789902.0,6809310.0,218346.0,6487132.0,15333248.0
39,39,40,2,4,38,North Dakota,672591,672591,674629,683932,2038,9303,2280,8960,1226,5915,1054,3045,211,577,771,5597,982,6174,2,84,13.19042722,8.707742972,4.482684252,0.849428182,8.239600577000001,9.089028759,North Dakota,North Dakota,ND,North Dakota,65941527.78,57544184.0,3575266.0,25001840.0,199980832.0,1785016.0,1487802.0,1.0,1281171.0,7297222.0,190914.0,211609.0,12000.0,68350.0,42155.0,485407.0,440126.0,15671.0,388813.0,6007244.0,4095755.0,3736911.0,73571.0,2892174.0,26351187.0,5739566.78,5816746.0,170331.0,1830456.0,7563713.0,646661.0,570700.0,1.0,96558.0,378426.0,685115.0,648721.0,1.0,192257.0,317942.0,1035520.0,1000709.0,104073.0,182649.0,1881100.0,690565.0,573607.0,63258.0,347724.0,139760.0,1209125.0,1269069.0,3000.0,605707.0,2057307.0,23610807.0,21350909.0,2095275.0,6043399.0,55780457.0,121284.0,141390.0,1.0,25824.0,95372.0,8035128.0,8873028.0,2065275.0,4019296.0,20240523.0,125342.0,122616.0,1.0,58026.0,143066.0,2223531.0,2020065.0,30000.0,1935253.0,3416859.0
40,40,40,2,3,39,Ohio,11536504,11536502,11537968,11544951,1466,6983,35487,140808,26758,107668,8729,33140,2533,9186,-9670,-35198,-7137,-26012,-126,-145,12.20019011,9.328802826,2.87138728,0.795913203,-3.04970095,-2.253787747,Ohio,Ohio,OH,Ohio,1639303985.17,1415800224.26,160581678.0,584332222.04,7803865104.950001,146901776.0,134817309.0,8555750.0,67298586.0,2172070625.0,2528441.0,2764894.0,55742.0,1545914.0,8745511.0,39652346.0,29432187.0,2039534.0,22835393.0,181318374.0,461489422.04,359242181.38,80342054.0,175745969.04,3560940579.94,506906914.15,462362248.69,17900713.0,197828319.2,1678082149.0200002,16354463.0,15421880.0,988551.0,6775356.0,14312795.0,12062246.0,12480324.0,437754.0,5484107.0,24570595.0,73658681.95,65131796.56,3768737.0,30619937.0,157655690.73000002,12820759.0,13180763.0,423940.0,6681252.0,41577331.0,135396395.0,117708328.0,4494125.0,74181048.0,576270239.0,103430013.0,90678010.0,8723305.0,31292127.0,934527495.0,9639998.0,9573373.0,706342.0,3751154.0,3924642.0,24498525.0,24574329.0,6768669.0,10696196.0,37132196.0,17182373.0,17209012.0,98818.0,6072021.0,23549621.0,11284163.0,9740116.0,222233.0,9682942.0,43630450.0
