,level_0,Unnamed: 0,index,Unnamed: 0.1,Unnamed: 0.1.1,SUMLEV,REGION,DIVISION,STATE,NAMEleft,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NATURALINC2010,NATURALINC2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,NETMIG2010,NETMIG2011,RESIDUAL2010,RESIDUAL2011,RBIRTH2011,RDEATH2011,RNATURALINC2011,RINTERNATIONALMIG2011,RDOMESTICMIG2011,RNETMIG2011,NAMEleft,ArtMuseumExpensesleft,ArtMuseumRevenueleft,ArtMuseumAssetsleft,ArtMuseumGovtGrantsleft,NAME,ArtMuseumExpenses,ArtMuseumRevenue,ArtMuseumAssets,ArtMuseumGovtGrants,ArtMuseumContributions
0,0,0,0,0,0,10,0,0,0,United States,308745538,308745538,309330219,311591917,584681,2261698,990000,4008000,595786,2450126,394214,1557874,190467,703824,0,0,190467,703824,0,0,12.90983126,7.891894516,5.017936742,2.267028212,0.0,2.267028212,,,,,,,,,,,
1,1,1,1,1,1,20,1,0,0,Northeast Region,55317240,55317244,55366108,55521598,48864,155490,161044,644052,112828,457744,48216,186308,36987,143923,-35356,-173113,1631,-29190,-983,-1628,11.61629225,8.255991877,3.360300375,2.595833302,-3.122311864,-0.526478562,,,,,,,,,,,
2,2,2,2,2,2,20,2,0,0,Midwest Region,66927001,66926987,66976458,67158835,49471,182377,211730,844948,138684,570171,73046,274777,22995,86892,-46160,-178994,-23165,-92102,-410,-298,12.59844417,8.501431461000001,4.097012708,1.295587434,-2.668857629,-1.373270195,,,,,,,,,,,
3,3,3,3,3,3,20,3,0,0,South Region,114555744,114555757,114857529,116046736,301772,1189207,375655,1534432,228433,944407,147222,590025,74318,262273,79590,334425,153908,596698,642,2484,13.29063368,8.18007411,5.110559565,2.271703383,2.896655027,5.16835841,,,,,,,,,,,
4,4,4,4,4,4,20,4,0,0,West Region,71945553,71945550,72130124,72864748,184574,734624,241571,984568,115841,477804,125730,506764,56167,210736,1926,17682,58093,228418,751,-558,13.58072857,6.590633081,6.990095483999999,2.9068062489999997,0.24389828100000002,3.15070453,,,,,,,,,,,
5,5,5,5,5,5,40,3,6,1,Alabama,4779736,4779735,4785401,4802740,5666,17339,14482,59866,11562,47768,2920,12098,1487,4461,1278,696,2765,5157,-19,84,12.48750931,9.96397529,2.52353402,0.9305244890000001,0.145179342,1.07570383,Alabama,13084007.0,12638560.0,61478511.0,4238690.0,Alabama,13084007.0,12638560.0,61478511.0,4238690.0,4533273.0
6,6,6,6,6,6,40,4,9,2,Alaska,710231,710231,714146,722718,3915,8572,2834,11193,647,3338,2187,7855,542,1101,1139,-399,1681,702,47,15,15.57976259,4.646229567,10.93353303,1.53250412,-0.555376153,0.977127968,Alaska,643318.0,772705.0,1269050.0,214623.0,Alaska,643318.0,772705.0,1269050.0,214623.0,423438.0
7,7,7,7,7,7,40,4,8,4,Arizona,6392017,6392013,6413158,6482505,21145,69347,20900,87887,11164,45899,9736,41988,5199,20542,6090,7060,11289,27602,120,-243,13.63047406,7.118517288,6.5119567720000004,3.1858772980000003,1.094941765,4.280819063,Arizona,25387001.0,33470151.0,57140342.0,242337.0,Arizona,25387001.0,33470151.0,57140342.0,242337.0,23179056.0
8,8,8,8,8,8,40,3,7,5,Arkansas,2915918,2915921,2921588,2937979,5667,16391,9218,38156,6759,28478,2459,9678,951,3178,2244,3480,3195,6658,13,55,13.02348791,9.720172156,3.303315757,1.084721789,1.187801078,2.2725228669999997,Arkansas,56486315.0,125756181.0,1237280499.0,19798.0,Arkansas,56486315.0,125756181.0,1237280499.0,19798.0,76621968.0
9,9,9,9,9,9,40,4,9,6,California,37253956,37253956,37338198,37691912,84242,353714,123173,508069,57867,234045,65306,274024,33518,130927,-15021,-50684,18497,80243,439,-553,13.54306958,6.2386953720000005,7.304374204,3.4899855539999995,-1.3510309390000002,2.138954614,California,465976473.0,442190661.0,4808471310.0,19936213.0,California,465976473.0,442190661.0,4808471310.0,19936213.0,291017633.0
